#MATRIX_SIZE : 2048
#START : dimanche 13 mai 2012, 17:03:09 (UTC+0200)
#num_iteration	ydim_gpu	speedup
set zlabel "accélération"
33	1664	4.2890002
33	1728	4.0783498
33	1792	4.0978546
33	1856	3.8352678
33	1920	3.69525
33	1984	3.7188418
33	2048	3.7868212
34	0	4.7650076
34	64	4.827092
34	128	4.2047918
34	192	4.6457074
34	256	5.5065496
34	320	5.8404104
34	384	5.9961808
34	448	6.8004784
34	512	7.0840788
34	576	7.2348516
34	640	7.5612686
34	704	8.1534192
34	768	7.8816176
34	832	7.452085
34	896	7.0671644
34	960	6.7368438
34	1024	6.372915
34	1088	6.063383
34	1152	5.8459428
34	1216	4.4797644
34	1280	5.1486366
34	1344	5.0000112
34	1408	4.7759304
34	1472	4.583194
34	1536	4.4770618
34	1600	4.252525
34	1664	4.0986756
34	1728	3.8828116
34	1792	3.80636
34	1856	3.6417296
34	1920	3.4561946
34	1984	3.4684768
34	2048	3.5554386
35	0	5.1180444
35	64	4.9701042
35	128	5.3037812
35	192	5.6142146
35	256	5.9669528
35	320	6.310849
35	384	6.3877058
35	448	7.2665524
35	512	7.3942116
35	576	7.7578032
35	640	8.34956
35	704	8.8428978
35	768	7.937125
35	832	6.1199916
35	896	7.3364558
35	960	7.0533064
35	1024	6.4870014
35	1088	6.4899696
35	1152	5.9443566
35	1216	5.7032462
35	1280	5.3234528
35	1344	5.3521446
35	1408	4.0867896
35	1472	4.8005994
35	1536	4.7199134
35	1600	4.3149364
35	1664	4.36575
35	1728	4.2126662
35	1792	3.9578364
35	1856	3.7362164
35	1920	3.7395012
35	1984	3.7025212
35	2048	3.237185
36	0	4.690971
36	64	3.6953346
36	128	5.1865936
36	192	5.485382
36	256	5.8449074
36	320	6.2328406
36	384	6.300705
36	448	6.704338
36	512	7.0422842
36	576	5.6566716
36	640	7.854367
36	704	7.4368756
36	768	7.8100728
36	832	7.3941564
36	896	6.7752806
36	960	6.7210732
36	1024	6.3531356
36	1088	5.9531242
36	1152	5.7126678
36	1216	5.3923608
36	1280	5.2867332
36	1344	4.86983
36	1408	4.7677854
36	1472	4.6468914
36	1536	4.3638578
36	1600	3.9031918
36	1664	4.0192908
36	1728	3.930674
36	1792	3.8111148
36	1856	3.6955532
36	1920	3.5865074
36	1984	3.4606304
36	2048	3.514127
37	0	5.075044
37	64	4.2576732
37	128	4.7110578
37	192	5.6657646
37	256	6.0291122
37	320	6.023106
37	384	6.8350628
37	448	6.9201394
37	512	7.6999728
37	576	7.3792328
37	640	8.232563
37	704	8.6596952
37	768	8.0678262
37	832	6.3185608
37	896	7.6378702
37	960	6.0309372
